,SELL_ID,SELL_CATEGORY,ITEM_NAME,CALENDAR_DATE,PRICE,QUANTITY,YEAR,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR
183,2053,2,COKE,1/14/14,12.37,52,2014,No Holiday,0,0,28.4,1
223,2053,2,COKE,1/15/15,10.81,56,2015,No Holiday,0,0,32.0,1
255,2053,2,COKE,1/16/15,10.81,60,2015,No Holiday,0,0,32.0,1
383,2053,2,COKE,1/2/15,10.81,60,2015,No Holiday,0,0,37.4,1
615,2053,2,COKE,1/27/12,12.6,46,2012,No Holiday,0,0,32.0,1
775,2053,2,COKE,1/31/12,12.6,42,2012,No Holiday,0,0,32.0,1
807,2053,2,COKE,1/4/12,12.6,42,2012,No Holiday,0,0,32.0,1
863,2053,2,COKE,1/5/15,10.81,54,2015,No Holiday,0,0,33.8,1
895,2053,2,COKE,1/6/15,10.81,52,2015,No Holiday,0,0,32.0,1
927,2053,2,COKE,1/7/15,10.81,52,2015,No Holiday,0,0,32.0,1
1023,2053,2,COKE,10/10/12,12.42,46,2012,No Holiday,0,0,62.6,1
1031,2053,2,COKE,10/10/13,10.45,56,2013,No Holiday,0,0,59.0,1
1039,2053,2,COKE,10/10/14,12.77,46,2014,No Holiday,0,0,60.8,1
1047,2053,2,COKE,10/11/12,12.42,48,2012,No Holiday,0,0,62.6,1
1055,2053,2,COKE,10/11/13,10.45,58,2013,No Holiday,0,0,60.8,1
1071,2053,2,COKE,10/12/12,12.42,48,2012,No Holiday,0,0,62.6,1
1111,2053,2,COKE,10/13/14,12.77,44,2014,No Holiday,0,0,59.0,1
1127,2053,2,COKE,10/14/13,10.45,56,2013,No Holiday,0,0,55.4,1
1135,2053,2,COKE,10/14/14,12.77,42,2014,No Holiday,0,0,48.2,1
1143,2053,2,COKE,10/15/12,12.42,50,2012,No Holiday,0,0,59.0,1
1151,2053,2,COKE,10/15/13,10.45,60,2013,No Holiday,0,0,55.4,1
1159,2053,2,COKE,10/15/14,12.77,44,2014,No Holiday,0,0,48.2,1
1167,2053,2,COKE,10/16/12,12.42,48,2012,No Holiday,0,0,57.2,1
1175,2053,2,COKE,10/16/13,10.45,58,2013,No Holiday,0,0,51.8,1
1183,2053,2,COKE,10/16/14,12.77,44,2014,No Holiday,0,0,53.6,1
1191,2053,2,COKE,10/17/12,12.42,46,2012,No Holiday,0,0,57.2,1
1199,2053,2,COKE,10/17/13,10.45,60,2013,No Holiday,0,0,51.8,1
1207,2053,2,COKE,10/17/14,12.77,46,2014,No Holiday,0,0,55.4,1
1215,2053,2,COKE,10/18/12,12.42,46,2012,No Holiday,0,0,59.0,1
1223,2053,2,COKE,10/18/13,10.45,62,2013,No Holiday,0,0,55.4,1
1239,2053,2,COKE,10/19/12,12.42,48,2012,No Holiday,0,0,59.0,1
1303,2053,2,COKE,10/20/14,12.77,48,2014,No Holiday,0,0,55.4,1
1319,2053,2,COKE,10/21/13,10.45,56,2013,No Holiday,0,0,51.8,1
1327,2053,2,COKE,10/21/14,12.77,46,2014,No Holiday,0,0,53.6,1
1335,2053,2,COKE,10/22/12,12.42,50,2012,No Holiday,0,0,60.8,1
1343,2053,2,COKE,10/22/13,10.45,60,2013,No Holiday,0,0,50.0,1
1351,2053,2,COKE,10/22/14,12.77,42,2014,No Holiday,0,0,50.0,1
1359,2053,2,COKE,10/23/12,12.42,50,2012,No Holiday,0,0,50.0,1
1367,2053,2,COKE,10/23/13,10.45,56,2013,No Holiday,0,0,55.4,1
1375,2053,2,COKE,10/23/14,12.77,44,2014,No Holiday,0,0,48.2,1
1383,2053,2,COKE,10/24/12,12.42,52,2012,No Holiday,0,0,46.4,1
1391,2053,2,COKE,10/24/13,10.45,60,2013,No Holiday,0,0,57.2,1
1399,2053,2,COKE,10/24/14,12.77,44,2014,No Holiday,0,0,50.0,1
1407,2053,2,COKE,10/25/12,12.42,44,2012,No Holiday,0,0,50.0,1
1415,2053,2,COKE,10/25/13,10.45,60,2013,No Holiday,0,0,59.0,1
1431,2053,2,COKE,10/26/12,12.42,48,2012,No Holiday,0,0,48.2,1
1471,2053,2,COKE,10/27/14,12.77,46,2014,No Holiday,0,0,53.6,1
1487,2053,2,COKE,10/28/13,10.45,58,2013,No Holiday,0,0,53.6,1
1495,2053,2,COKE,10/28/14,12.77,50,2014,No Holiday,0,0,51.8,1
1503,2053,2,COKE,10/29/12,12.42,46,2012,No Holiday,0,0,53.6,1
1511,2053,2,COKE,10/29/13,10.45,56,2013,No Holiday,0,0,46.4,1
1519,2053,2,COKE,10/29/14,12.77,44,2014,No Holiday,0,0,48.2,1
1551,2053,2,COKE,10/30/12,12.42,50,2012,No Holiday,0,0,53.6,1
1559,2053,2,COKE,10/30/13,10.45,64,2013,No Holiday,0,0,44.6,1
1567,2053,2,COKE,10/30/14,12.77,46,2014,No Holiday,0,0,50.0,1
1575,2053,2,COKE,10/31/12,12.42,52,2012,No Holiday,0,0,53.6,1
1583,2053,2,COKE,10/31/13,10.45,64,2013,No Holiday,0,0,44.6,1
1591,2053,2,COKE,10/31/14,12.77,46,2014,No Holiday,0,0,48.2,1
1695,2053,2,COKE,10/8/12,12.42,50,2012,No Holiday,0,0,66.2,1
1703,2053,2,COKE,10/8/13,10.45,62,2013,No Holiday,0,0,66.2,1
1719,2053,2,COKE,10/9/12,12.42,52,2012,No Holiday,0,0,66.2,1
1727,2053,2,COKE,10/9/13,10.45,56,2013,No Holiday,0,0,60.8,1
1735,2053,2,COKE,10/9/14,12.77,50,2014,No Holiday,0,0,66.2,1
1743,2053,2,COKE,11/1/12,12.42,50,2012,No Holiday,0,0,51.8,1
1751,2053,2,COKE,11/1/13,10.45,58,2013,No Holiday,0,0,48.2,1
1783,2053,2,COKE,11/10/14,12.77,44,2014,No Holiday,0,0,42.8,1
1799,2053,2,COKE,11/11/13,10.45,56,2013,No Holiday,0,0,35.6,1
1807,2053,2,COKE,11/11/14,12.77,50,2014,No Holiday,0,0,44.6,1
1815,2053,2,COKE,11/12/12,12.42,44,2012,No Holiday,0,0,46.4,1
1823,2053,2,COKE,11/12/13,10.45,60,2013,No Holiday,0,0,37.4,1
1831,2053,2,COKE,11/12/14,12.77,42,2014,No Holiday,0,0,44.6,1
1839,2053,2,COKE,11/13/12,12.42,50,2012,No Holiday,0,0,42.8,1
1847,2053,2,COKE,11/13/13,10.45,62,2013,No Holiday,0,0,35.6,1
1855,2053,2,COKE,11/13/14,12.77,42,2014,No Holiday,0,0,46.4,1
1863,2053,2,COKE,11/14/12,12.42,44,2012,No Holiday,0,0,44.6,1
1871,2053,2,COKE,11/14/13,10.45,64,2013,No Holiday,0,0,37.4,1
1879,2053,2,COKE,11/14/14,12.77,46,2014,No Holiday,0,0,44.6,1
1887,2053,2,COKE,11/15/12,12.42,48,2012,No Holiday,0,0,44.6,1
1895,2053,2,COKE,11/15/13,10.45,64,2013,No Holiday,0,0,39.2,1
1911,2053,2,COKE,11/16/12,12.42,44,2012,No Holiday,0,0,46.4,1
1951,2053,2,COKE,11/17/14,12.77,42,2014,No Holiday,0,0,39.2,1
