,SELL_ID,SELL_CATEGORY,ITEM_NAME,CALENDAR_DATE,PRICE,QUANTITY,YEAR,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR
179,2052,2,BURGER,1/14/14,11.96,26,2014,No Holiday,0,0,28.4,1
219,2052,2,BURGER,1/15/15,11.45,28,2015,No Holiday,0,0,32.0,1
251,2052,2,BURGER,1/16/15,11.45,22,2015,No Holiday,0,0,32.0,1
379,2052,2,BURGER,1/2/15,11.45,22,2015,No Holiday,0,0,37.4,1
611,2052,2,BURGER,1/27/12,12.75,18,2012,No Holiday,0,0,32.0,1
771,2052,2,BURGER,1/31/12,12.75,16,2012,No Holiday,0,0,32.0,1
803,2052,2,BURGER,1/4/12,12.75,24,2012,No Holiday,0,0,32.0,1
859,2052,2,BURGER,1/5/15,11.45,22,2015,No Holiday,0,0,33.8,1
891,2052,2,BURGER,1/6/15,11.45,22,2015,No Holiday,0,0,32.0,1
923,2052,2,BURGER,1/7/15,11.45,20,2015,No Holiday,0,0,32.0,1
1019,2052,2,BURGER,10/10/12,12.49,24,2012,No Holiday,0,0,62.6,1
1027,2052,2,BURGER,10/10/13,10.12,22,2013,No Holiday,0,0,59.0,1
1035,2052,2,BURGER,10/10/14,12.85,24,2014,No Holiday,0,0,60.8,1
1043,2052,2,BURGER,10/11/12,12.49,20,2012,No Holiday,0,0,62.6,1
1051,2052,2,BURGER,10/11/13,10.12,22,2013,No Holiday,0,0,60.8,1
1067,2052,2,BURGER,10/12/12,12.49,18,2012,No Holiday,0,0,62.6,1
1107,2052,2,BURGER,10/13/14,12.85,18,2014,No Holiday,0,0,59.0,1
1123,2052,2,BURGER,10/14/13,10.12,26,2013,No Holiday,0,0,55.4,1
1131,2052,2,BURGER,10/14/14,12.85,16,2014,No Holiday,0,0,48.2,1
1139,2052,2,BURGER,10/15/12,12.49,20,2012,No Holiday,0,0,59.0,1
1147,2052,2,BURGER,10/15/13,10.12,22,2013,No Holiday,0,0,55.4,1
1155,2052,2,BURGER,10/15/14,12.85,20,2014,No Holiday,0,0,48.2,1
1163,2052,2,BURGER,10/16/12,12.49,16,2012,No Holiday,0,0,57.2,1
1171,2052,2,BURGER,10/16/13,10.12,22,2013,No Holiday,0,0,51.8,1
1179,2052,2,BURGER,10/16/14,12.85,16,2014,No Holiday,0,0,53.6,1
