,SELL_ID,SELL_CATEGORY,ITEM_NAME,CALENDAR_DATE,PRICE,QUANTITY,YEAR,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR
181,2053,2,BURGER,1/14/14,12.37,52,2014,No Holiday,0,0,28.4,1
221,2053,2,BURGER,1/15/15,10.81,56,2015,No Holiday,0,0,32.0,1
253,2053,2,BURGER,1/16/15,10.81,60,2015,No Holiday,0,0,32.0,1
381,2053,2,BURGER,1/2/15,10.81,60,2015,No Holiday,0,0,37.4,1
613,2053,2,BURGER,1/27/12,12.6,46,2012,No Holiday,0,0,32.0,1
773,2053,2,BURGER,1/31/12,12.6,42,2012,No Holiday,0,0,32.0,1
805,2053,2,BURGER,1/4/12,12.6,42,2012,No Holiday,0,0,32.0,1
861,2053,2,BURGER,1/5/15,10.81,54,2015,No Holiday,0,0,33.8,1
893,2053,2,BURGER,1/6/15,10.81,52,2015,No Holiday,0,0,32.0,1
925,2053,2,BURGER,1/7/15,10.81,52,2015,No Holiday,0,0,32.0,1
1021,2053,2,BURGER,10/10/12,12.42,46,2012,No Holiday,0,0,62.6,1
1029,2053,2,BURGER,10/10/13,10.45,56,2013,No Holiday,0,0,59.0,1
1037,2053,2,BURGER,10/10/14,12.77,46,2014,No Holiday,0,0,60.8,1
1045,2053,2,BURGER,10/11/12,12.42,48,2012,No Holiday,0,0,62.6,1
1053,2053,2,BURGER,10/11/13,10.45,58,2013,No Holiday,0,0,60.8,1
1069,2053,2,BURGER,10/12/12,12.42,48,2012,No Holiday,0,0,62.6,1
1109,2053,2,BURGER,10/13/14,12.77,44,2014,No Holiday,0,0,59.0,1
1125,2053,2,BURGER,10/14/13,10.45,56,2013,No Holiday,0,0,55.4,1
1133,2053,2,BURGER,10/14/14,12.77,42,2014,No Holiday,0,0,48.2,1
1141,2053,2,BURGER,10/15/12,12.42,50,2012,No Holiday,0,0,59.0,1
1149,2053,2,BURGER,10/15/13,10.45,60,2013,No Holiday,0,0,55.4,1
1157,2053,2,BURGER,10/15/14,12.77,44,2014,No Holiday,0,0,48.2,1
1165,2053,2,BURGER,10/16/12,12.42,48,2012,No Holiday,0,0,57.2,1
1173,2053,2,BURGER,10/16/13,10.45,58,2013,No Holiday,0,0,51.8,1
1181,2053,2,BURGER,10/16/14,12.77,44,2014,No Holiday,0,0,53.6,1
1189,2053,2,BURGER,10/17/12,12.42,46,2012,No Holiday,0,0,57.2,1
1197,2053,2,BURGER,10/17/13,10.45,60,2013,No Holiday,0,0,51.8,1
1205,2053,2,BURGER,10/17/14,12.77,46,2014,No Holiday,0,0,55.4,1
1213,2053,2,BURGER,10/18/12,12.42,46,2012,No Holiday,0,0,59.0,1
1221,2053,2,BURGER,10/18/13,10.45,62,2013,No Holiday,0,0,55.4,1
1237,2053,2,BURGER,10/19/12,12.42,48,2012,No Holiday,0,0,59.0,1
1301,2053,2,BURGER,10/20/14,12.77,48,2014,No Holiday,0,0,55.4,1
1317,2053,2,BURGER,10/21/13,10.45,56,2013,No Holiday,0,0,51.8,1
1325,2053,2,BURGER,10/21/14,12.77,46,2014,No Holiday,0,0,53.6,1
1333,2053,2,BURGER,10/22/12,12.42,50,2012,No Holiday,0,0,60.8,1
